jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_weekend:radius,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|EMP_NO:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|IN_OUT_STATUS:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_timeOfDay:radius,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=IN_OUT_STATUS,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=IN_OUT_STATUS, 
1011,  1581,  completed,  eof,  2017-01-16 19:14:42,  2017-01-16 19:14:42,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_3.72498924478.modelParams|clParams|alpha_0.0505852494518.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0491298227547,  1,  None,  3.72498924478,  0.0505852494518,  11,  14,  None,  3,  None,  299,  None,  0.0491298227547,  0,  0, 
1011,  1582,  completed,  eof,  2017-01-16 19:14:42,  2017-01-16 19:14:43,  1,  modelParams|clParams|alpha_0.0545452851107.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_346.modelParams|sensorParams|encoders|TIME_OF_SWIPE_timeOfDay:radius_6.81268283736.modelParams|spParams|synPermInactiveDec_0.0391598227547,  1,  None,  None,  0.0545452851107,  11,  14,  None,  3,  None,  346,  6.81268283736,  0.0391598227547,  0,  0, 
1011,  1583,  completed,  eof,  2017-01-16 19:14:43,  2017-01-16 19:14:43,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_weekend:radius_1.modelParams|clParams|alpha_0.059539914219.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_327.modelParams|spParams|synPermInactiveDec_0.0456941272355,  1,  1,  None,  0.059539914219,  11,  13,  None,  3,  None,  327,  None,  0.0456941272355,  0,  0, 
1011,  1584,  completed,  eof,  2017-01-16 19:14:43,  2017-01-16 19:14:44,  1,  modelParams|clParams|alpha_0.0403098574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|sensorParams|encoders|EMP_NO:n_276.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_251.modelParams|spParams|synPermInactiveDec_0.0481675886227,  1,  None,  None,  0.0403098574447,  11,  14,  276,  3,  None,  251,  None,  0.0481675886227,  0,  0, 
1011,  1585,  completed,  eof,  2017-01-16 19:14:43,  2017-01-16 19:14:44,  1,  modelParams|clParams|alpha_0.0403098574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|IN_OUT_STATUS:n_223.modelParams|sensorParams|encoders|_classifierInput|n_251.modelParams|spParams|synPermInactiveDec_0.0481675886227,  1,  None,  None,  0.0403098574447,  11,  14,  None,  3,  223,  251,  None,  0.0481675886227,  0,  0, 
1011,  1586,  completed,  eof,  2017-01-16 19:14:44,  2017-01-16 19:14:45,  1,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_3.48749462239.modelParams|clParams|alpha_0.0522798752741.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_251.modelParams|spParams|synPermInactiveDec_0.0481675886227,  1,  None,  3.48749462239,  0.0522798752741,  11,  14,  None,  3,  None,  251,  None,  0.0481675886227,  0,  0, 
1011,  1587,  completed,  eof,  2017-01-16 19:14:44,  2017-01-16 19:14:45,  1,  modelParams|clParams|alpha_0.0403098574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_227.modelParams|sensorParams|encoders|TIME_OF_SWIPE_timeOfDay:radius_5.66884141868.modelParams|spParams|synPermInactiveDec_0.0581375886227,  1,  None,  None,  0.0403098574447,  11,  14,  None,  3,  None,  227,  5.66884141868,  0.0581375886227,  0,  0, 
1011,  1588,  completed,  eof,  2017-01-16 19:14:45,  2017-01-16 19:14:45,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_weekend:radius_1.modelParams|clParams|alpha_0.0527975428905.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_237.modelParams|spParams|synPermInactiveDec_0.0498854363823,  1,  1,  None,  0.0527975428905,  11,  14,  None,  3,  None,  237,  None,  0.0498854363823,  0,  0, 
1011,  1589,  completed,  eof,  2017-01-16 19:14:45,  2017-01-16 19:14:46,  1,  modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|sensorParams|encoders|EMP_NO:n_268.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0421624113773,  1,  None,  None,  0.0498001425553,  10,  14,  268,  3,  None,  299,  None,  0.0421624113773,  0,  0, 
1011,  1590,  completed,  eof,  2017-01-16 19:14:45,  2017-01-16 19:14:46,  1,  modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|IN_OUT_STATUS:n_321.modelParams|sensorParams|encoders|_classifierInput|n_299.modelParams|spParams|synPermInactiveDec_0.0421624113773,  1,  None,  None,  0.0498001425553,  10,  14,  None,  3,  321,  299,  None,  0.0421624113773,  0,  0, 
